v8-version,8,6,235,0,0
code-creation,Builtin,3,2430,0x108c7a140,54,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2440,0x108c7a180,62,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2451,0x108c7a1c0,291,CallApiCallback
code-creation,Builtin,3,2459,0x108c7a300,287,CallApiGetter
code-creation,Builtin,3,2467,0x108c7a420,12,HandleApiCall
code-creation,Builtin,3,2476,0x108c7a440,12,HandleApiCallAsFunction
code-creation,Builtin,3,2485,0x108c7a460,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2494,0x108c7a480,64,AllocateInYoungGeneration
code-creation,Builtin,3,2503,0x108c7a4e0,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2513,0x108c7a520,64,AllocateInOldGeneration
code-creation,Builtin,3,2522,0x108c7a580,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2531,0x108c7a5c0,500,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2541,0x108c7a7c0,571,GrowFastDoubleElements
code-creation,Builtin,3,2550,0x108c7aa00,454,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2565,0x108c7abe0,520,DebugBreakTrampoline
code-creation,Builtin,3,2573,0x108c7ae00,152,FrameDropperTrampoline
code-creation,Builtin,3,2583,0x108c7aea0,45,HandleDebuggerStatement
code-creation,Builtin,3,2592,0x108c7aee0,239,ToNumber
code-creation,Builtin,3,2600,0x108c7afe0,272,ToNumberConvertBigInt
code-creation,Builtin,3,2609,0x108c7b100,144,Typeof
code-creation,Builtin,3,2617,0x108c7b1a0,73,GetSuperConstructor
code-creation,Builtin,3,2625,0x108c7b200,125,BigIntToI64
code-creation,Builtin,3,2633,0x108c7b280,12,BigIntToI32Pair
code-creation,Builtin,3,2642,0x108c7b2a0,293,I64ToBigInt
code-creation,Builtin,3,2650,0x108c7b3e0,12,I32PairToBigInt
code-creation,Builtin,3,2658,0x108c7b400,124,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2667,0x108c7b480,3453,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2677,0x108c7c200,17536,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2686,0x108c806a0,377,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,2695,0x108c80820,76,LoadIC_FunctionPrototype
code-creation,Builtin,3,2705,0x108c80880,16,LoadIC_StringLength
code-creation,Builtin,3,2714,0x108c808a0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,2724,0x108c808c0,3332,LoadIC_NoFeedback
code-creation,Builtin,3,2732,0x108c815e0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,2741,0x108c81620,7808,StoreIC_NoFeedback
code-creation,Builtin,3,2750,0x108c834c0,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,2759,0x108c83580,76,LoadIndexedInterceptorIC
code-creation,Builtin,3,2786,0x108c835e0,344,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,2797,0x108c83740,344,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2819,0x108c838a0,344,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,2830,0x108c83a00,344,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,2840,0x108c83b60,7174,StoreFastElementIC_Standard
code-creation,Builtin,3,2849,0x108c85780,10992,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2860,0x108c88280,7170,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,2870,0x108c89ea0,6156,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,2880,0x108c8b6c0,9896,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,2890,0x108c8dd80,22480,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2901,0x108c93560,9896,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,2911,0x108c95c20,13008,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,2921,0x108c98f00,880,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,2930,0x108c99280,156,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,2939,0x108c99320,76,HasIndexedInterceptorIC
code-creation,Builtin,3,2948,0x108c99380,172,EnqueueMicrotask
code-creation,Builtin,3,2956,0x108c99440,8,RunMicrotasksTrampoline
code-creation,Builtin,3,2964,0x108c99460,2724,RunMicrotasks
code-creation,Builtin,3,2973,0x108c99f20,2502,HasProperty
code-creation,Builtin,3,2980,0x108c9a900,1156,DeleteProperty
code-creation,Builtin,3,2988,0x108c9ada0,2131,CopyDataProperties
code-creation,Builtin,3,2997,0x108c9b600,9326,SetDataProperties
code-creation,Builtin,3,3005,0x108c9da80,36,Abort
code-creation,Builtin,3,3012,0x108c9dac0,36,AbortCSAAssert
code-creation,Builtin,3,3020,0x108c9db00,12,EmptyFunction
code-creation,Builtin,3,3028,0x108c9db20,12,Illegal
code-creation,Builtin,3,3035,0x108c9db40,12,StrictPoisonPillThrower
code-creation,Builtin,3,3044,0x108c9db60,12,UnsupportedThrower
code-creation,Builtin,3,3052,0x108c9db80,65,ReturnReceiver
code-creation,Builtin,3,3060,0x108c9dbe0,44,ArrayConstructor
code-creation,Builtin,3,3069,0x108c9dc20,409,ArrayConstructorImpl
code-creation,Builtin,3,3077,0x108c9ddc0,225,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3088,0x108c9dec0,225,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3099,0x108c9dfc0,189,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3110,0x108c9e080,189,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3122,0x108c9e140,189,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3133,0x108c9e200,189,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3144,0x108c9e2c0,201,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,3155,0x108c9e3a0,201,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3167,0x108c9e480,569,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3178,0x108c9e6c0,529,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3189,0x108c9e8e0,497,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3201,0x108c9eae0,457,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3213,0x108c9ecc0,497,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3224,0x108c9eec0,457,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3236,0x108c9f0a0,501,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,3247,0x108c9f2a0,465,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3260,0x108c9f480,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,3269,0x108c9f4e0,12,ArrayConcat
code-creation,Builtin,3,3277,0x108c9f500,12,ArrayPrototypeFill
code-creation,Builtin,3,3304,0x108c9f520,998,ArrayIncludesSmiOrObject
code-creation,Builtin,3,3314,0x108c9f920,160,ArrayIncludesPackedDoubles
code-creation,Builtin,3,3323,0x108c9f9e0,236,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,3332,0x108c9fae0,633,ArrayIncludes
code-creation,Builtin,3,3339,0x108c9fd60,902,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,3348,0x108ca0100,116,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,3357,0x108ca0180,116,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,3366,0x108ca0200,633,ArrayIndexOf
code-creation,Builtin,3,3374,0x108ca0480,12,ArrayPop
code-creation,Builtin,3,3381,0x108ca04a0,758,ArrayPrototypePop
code-creation,Builtin,3,3389,0x108ca07a0,12,ArrayPush
code-creation,Builtin,3,3409,0x108ca07c0,2914,ArrayPrototypePush
code-creation,Builtin,3,3417,0x108ca1340,12,ArrayShift
code-creation,Builtin,3,3424,0x108ca1360,12,ArrayUnshift
code-creation,Builtin,3,3432,0x108ca1380,1126,CloneFastJSArray
code-creation,Builtin,3,3440,0x108ca1800,2624,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,3448,0x108ca2260,1106,ExtractFastJSArray
code-creation,Builtin,3,3457,0x108ca26c0,295,ArrayPrototypeEntries
code-creation,Builtin,3,3465,0x108ca2800,291,ArrayPrototypeKeys
code-creation,Builtin,3,3473,0x108ca2940,295,ArrayPrototypeValues
code-creation,Builtin,3,3481,0x108ca2a80,4686,ArrayIteratorPrototypeNext
code-creation,Builtin,3,3490,0x108ca3ce0,4218,FlattenIntoArray
code-creation,Builtin,3,3498,0x108ca4d60,4138,FlatMapIntoArray
code-creation,Builtin,3,3506,0x108ca5da0,520,ArrayPrototypeFlat
code-creation,Builtin,3,3515,0x108ca5fc0,560,ArrayPrototypeFlatMap
code-creation,Builtin,3,3523,0x108ca6200,12,ArrayBufferConstructor
code-creation,Builtin,3,3532,0x108ca6220,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,3541,0x108ca6240,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,3550,0x108ca6260,12,ArrayBufferIsView
code-creation,Builtin,3,3558,0x108ca6280,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,3567,0x108ca62a0,648,AsyncFunctionEnter
code-creation,Builtin,3,3575,0x108ca6540,165,AsyncFunctionReject
code-creation,Builtin,3,3583,0x108ca6600,157,AsyncFunctionResolve
code-creation,Builtin,3,3591,0x108ca66a0,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,3601,0x108ca66c0,1506,AsyncFunctionAwaitCaught
code-creation,Builtin,3,3609,0x108ca6cc0,1506,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,3618,0x108ca72c0,203,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,3626,0x108ca73a0,199,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,3635,0x108ca7480,12,BigIntConstructor
code-creation,Builtin,3,3643,0x108ca74a0,12,BigIntAsUintN
code-creation,Builtin,3,3651,0x108ca74c0,12,BigIntAsIntN
code-creation,Builtin,3,3658,0x108ca74e0,12,BigIntPrototypeToLocaleString
